contract_id,vendor_id,contract_name,contract_type,start_date,end_date,auto_renew,notice_period_days,total_value_cap_usd,currency,payment_terms_days,status,document_path
CTR-0001,VEND-00001,Stratos Cloud - Enterprise Hosting MSA,MSA,2024-06-01,2026-05-31,True,60,1800000,USD,60,Active,contracts/CTR-0001_stratos_cloud_msa.pdf
CTR-0002,VEND-00002,Keystone Analytics - Annual Subscription,Subscription,2025-07-01,2026-06-30,True,30,420000,USD,30,Active,contracts/CTR-0002_keystone_analytics_subscription.md
CTR-0003,VEND-00003,Orion Logistics - Freight Services MSA,MSA,2024-01-01,2026-12-31,False,90,2400000,USD,45,Active,contracts/CTR-0003_orion_logistics_msa.pdf
CTR-0004,VEND-00004,Harbor Legal - Retainer Agreement,Retainer,2025-04-01,2026-03-31,False,60,180000,USD,30,Expired,contracts/CTR-0004_harbor_legal_retainer.md
CTR-0005,VEND-00005,Redwood Staffing - MSA + SOW 2026,MSA,2026-01-15,2027-01-14,True,30,650000,USD,45,Active,contracts/CTR-0005_redwood_staffing_msa.md
CTR-0006,VEND-00006,Palisade Media - Brand Campaign SOW,SOW,2025-10-01,2026-06-30,False,30,320000,USD,30,Active,contracts/CTR-0006_palisade_media_sow.md
CTR-0007,VEND-00007,Lattice Telecom - Network Services Blanket,Blanket PO,2024-04-01,2026-06-30,True,90,540000,USD,30,Active,contracts/CTR-0007_lattice_telecom_blanket.md
CTR-0008,VEND-00008,Meridian Office Supply - Blanket PO,Blanket PO,2025-01-01,2026-12-31,True,30,95000,USD,45,Active,contracts/CTR-0008_meridian_office_blanket.md
CTR-0009,VEND-00009,Nimbus IT Hardware - Device Refresh SOW,SOW,2025-08-01,2026-07-31,False,60,880000,USD,30,Active,contracts/CTR-0009_nimbus_hardware_sow.md
CTR-0010,VEND-00010,Polaris Consulting - Transformation MSA,MSA,2024-09-01,2026-08-31,True,60,1250000,USD,45,Active,contracts/CTR-0010_polaris_consulting_msa.md
CTR-0011,VEND-00011,Juniper Facilities - Cleaning Services,Subscription,2024-07-01,2026-06-30,True,30,210000,USD,30,Active,contracts/CTR-0011_juniper_facilities_subscription.md
CTR-0012,VEND-00012,Kestrel Travel - Corporate Travel Agreement,MSA,2025-02-01,2027-01-31,False,90,450000,USD,30,Active,contracts/CTR-0012_kestrel_travel_msa.md
CTR-0013,VEND-00013,Aperture SaaS - Multi-Year Subscription,Subscription,2024-10-01,2027-09-30,True,60,780000,USD,60,Active,contracts/CTR-0013_aperture_saas_subscription.pdf
CTR-0014,VEND-00014,Summit Cloud - DR & Backup Services,Subscription,2025-05-01,2026-04-30,True,30,240000,USD,30,Active,contracts/CTR-0014_summit_cloud_subscription.md
CTR-0015,VEND-00015,Beacon Marketing - Performance Retainer,Retainer,2026-01-01,2026-12-31,False,60,360000,USD,30,Active,contracts/CTR-0015_beacon_marketing_retainer.md
CTR-0016,VEND-00050,Legacy Print Services MSA,MSA,2023-01-01,2025-12-31,False,60,120000,USD,45,Active,
CTR-0017,VEND-00024,Tidewater Co. - Subscription,Subscription,2023-11-07,2026-10-22,False,30,650000,EUR,45,Active,
CTR-0018,VEND-00130,Ironclad Systems - Blanket PO,Blanket PO,2025-05-19,2027-05-09,True,30,275000,USD,30,Active,
CTR-0019,VEND-00059,Veridian Studio - SOW,SOW,2023-03-05,2026-02-17,False,60,590000,USD,30,Expired,
CTR-0020,VEND-00022,Relay Works - MSA,MSA,2024-01-24,2025-07-17,False,90,1270000,USD,30,Expired,
CTR-0021,VEND-00041,Fairway Supply Co. - MSA,MSA,2024-06-08,2026-05-29,True,30,720000,USD,45,Active,
CTR-0022,VEND-00105,Zenith Advisors - SOW,SOW,2025-09-15,2027-09-05,True,60,690000,USD,30,Active,
CTR-0023,VEND-00023,Polaris Labs - MSA,MSA,2023-06-17,2026-06-01,False,90,995000,USD,45,Active,
CTR-0024,VEND-00074,Beacon Supply Co. - Subscription,Subscription,2023-07-26,2026-07-10,True,60,705000,USD,30,Active,
CTR-0025,VEND-00176,Lumen Studio - SOW,SOW,2025-02-21,2027-02-11,True,90,1020000,USD,45,Active,
CTR-0026,VEND-00198,Flint Holdings - Subscription,Subscription,2025-07-06,2028-06-20,True,30,565000,GBP,60,Active,
CTR-0027,VEND-00177,Crest Co. - Retainer,Retainer,2023-08-31,2026-08-15,True,90,480000,USD,60,Active,
CTR-0028,VEND-00141,Lumen Works - SOW,SOW,2024-07-13,2026-01-04,True,60,240000,USD,30,Expired,
CTR-0029,VEND-00092,Lattice Technologies - Retainer,Retainer,2025-06-15,2028-05-30,True,90,900000,USD,60,Active,
CTR-0030,VEND-00147,Fairway Consulting - Blanket PO,Blanket PO,2023-05-17,2025-05-06,True,90,190000,USD,60,Expired,
CTR-0031,VEND-00044,Beacon Studio - Blanket PO,Blanket PO,2025-02-16,2026-08-10,False,30,655000,USD,45,Active,
CTR-0032,VEND-00034,Orion Works - Subscription,Subscription,2025-06-02,2026-11-24,True,60,1345000,USD,30,Active,
CTR-0033,VEND-00109,Orion Supply Co. - Subscription,Subscription,2023-04-29,2024-10-20,False,60,720000,GBP,60,Expired,
CTR-0034,VEND-00046,Northgate Labs - Retainer,Retainer,2023-09-27,2026-09-11,True,90,60000,USD,30,Active,
CTR-0035,VEND-00124,Osprey LLC - SOW,SOW,2023-01-21,2025-01-10,True,60,780000,USD,60,Expired,
CTR-0036,VEND-00115,Relay Media - Subscription,Subscription,2023-02-07,2025-01-27,False,30,1225000,USD,30,Expired,
CTR-0037,VEND-00165,Relay Networks - Blanket PO,Blanket PO,2023-04-29,2024-04-23,True,90,1245000,USD,60,Expired,
CTR-0038,VEND-00194,Kestrel Industries - Retainer,Retainer,2025-03-14,2028-02-27,False,60,1445000,EUR,45,Active,
CTR-0039,VEND-00045,Nomad Technologies - MSA,MSA,2025-11-27,2028-11-11,False,60,220000,USD,60,Active,
CTR-0040,VEND-00171,Meridian Corp - SOW,SOW,2024-09-09,2026-08-30,False,30,950000,USD,60,Active,
CTR-0041,VEND-00084,Harbor Media - MSA,MSA,2024-01-21,2025-07-14,True,60,1480000,USD,60,Expired,
CTR-0042,VEND-00063,Polaris Works - Subscription,Subscription,2024-07-13,2026-01-04,True,30,305000,GBP,45,Expired,
CTR-0043,VEND-00035,Zenith Media - Blanket PO,Blanket PO,2024-10-27,2025-10-22,True,30,380000,USD,45,Expired,
CTR-0044,VEND-00142,Umbra Holdings - SOW,SOW,2023-05-26,2024-11-16,True,90,280000,GBP,30,Expired,
CTR-0045,VEND-00032,Fairway Co. - MSA,MSA,2023-03-29,2024-09-19,False,60,1120000,USD,60,Expired,
CTR-0046,VEND-00133,Ironclad Networks - Retainer,Retainer,2023-08-02,2025-01-23,False,60,1160000,USD,45,Expired,
CTR-0047,VEND-00164,Palisade Studio - Retainer,Retainer,2024-01-15,2026-12-30,True,30,1205000,USD,60,Active,
CTR-0048,VEND-00123,Umbra Works - SOW,SOW,2024-07-02,2025-06-27,False,30,135000,USD,30,Expired,
CTR-0049,VEND-00119,Umbra Systems - MSA,MSA,2023-08-02,2025-07-22,False,60,720000,USD,30,Expired,
CTR-0050,VEND-00062,Kestrel Works - Blanket PO,Blanket PO,2024-02-05,2027-01-20,True,90,1480000,USD,60,Active,
CTR-0051,VEND-00190,Beacon Networks - MSA,MSA,2025-05-21,2026-05-16,True,30,920000,USD,30,Active,
CTR-0052,VEND-00116,Ironclad Supply Co. - Subscription,Subscription,2025-04-12,2028-03-27,True,90,415000,USD,45,Active,
CTR-0053,VEND-00138,Veridian Cloud - Blanket PO,Blanket PO,2023-09-07,2025-02-28,True,60,80000,USD,45,Expired,
CTR-0054,VEND-00156,Flint Supply Co. - Blanket PO,Blanket PO,2023-09-21,2025-03-14,False,90,575000,USD,60,Expired,
CTR-0055,VEND-00127,Keystone Advisors - Retainer,Retainer,2024-02-21,2026-02-10,False,60,1010000,USD,60,Expired,
CTR-0056,VEND-00149,Relay LLC - SOW,SOW,2025-03-14,2027-03-04,False,90,145000,USD,45,Active,
CTR-0057,VEND-00042,Vesper Labs - Blanket PO,Blanket PO,2025-07-15,2026-07-10,True,60,155000,USD,30,Active,
CTR-0058,VEND-00064,Parallel Solutions - MSA,MSA,2023-01-20,2025-01-09,False,30,140000,USD,60,Expired,
CTR-0059,VEND-00103,Cedarline Networks - Blanket PO,Blanket PO,2024-11-22,2026-11-12,False,60,945000,USD,45,Active,
CTR-0060,VEND-00088,Lattice Corp - Retainer,Retainer,2025-05-13,2026-11-04,True,60,865000,USD,30,Active,
CTR-0061,VEND-00106,Aperture Media - Subscription,Subscription,2023-12-15,2024-12-09,True,90,1160000,USD,30,Expired,
CTR-0062,VEND-00162,Lattice Studio - Retainer,Retainer,2025-09-20,2028-09-04,False,90,530000,USD,30,Active,
CTR-0063,VEND-00167,Fairway Cloud - MSA,MSA,2023-05-29,2025-05-18,False,60,730000,USD,60,Expired,
CTR-0064,VEND-00161,Crest Labs - Blanket PO,Blanket PO,2024-04-22,2026-04-12,True,30,130000,USD,60,Expired,
CTR-0065,VEND-00180,Orion LLC - Subscription,Subscription,2025-10-22,2026-10-17,True,30,790000,USD,60,Active,
CTR-0066,VEND-00117,Westwind LLC - Subscription,Subscription,2023-01-01,2024-12-21,True,60,270000,GBP,60,Expired,
CTR-0067,VEND-00025,Redwood Industries - Subscription,Subscription,2025-04-29,2026-04-24,False,30,1265000,USD,30,Active,
CTR-0068,VEND-00148,Zenith Logistics - MSA,MSA,2024-10-06,2027-09-21,False,90,485000,GBP,60,Active,
CTR-0069,VEND-00072,Orion Co. - Blanket PO,Blanket PO,2025-04-03,2026-03-29,True,30,205000,USD,30,Expired,
CTR-0070,VEND-00151,Canyon Studio - MSA,MSA,2024-06-30,2025-12-22,False,60,325000,USD,30,Expired,
CTR-0071,VEND-00037,Zenith Supply Co. - MSA,MSA,2023-05-23,2024-05-17,True,30,80000,USD,30,Expired,
CTR-0072,VEND-00173,Palisade Logistics - Retainer,Retainer,2024-08-31,2027-08-16,True,90,730000,USD,45,Active,
CTR-0073,VEND-00129,Northgate Services - SOW,SOW,2024-09-10,2025-09-05,True,90,1205000,USD,30,Expired,
CTR-0074,VEND-00089,Lumen LLC - Blanket PO,Blanket PO,2025-04-24,2026-10-16,True,90,1355000,USD,45,Active,
CTR-0075,VEND-00075,Nimbus Advisors - Retainer,Retainer,2025-11-23,2027-05-17,False,90,1175000,USD,60,Active,
CTR-0076,VEND-00051,Northgate Advisors - SOW,SOW,2023-12-07,2025-11-26,True,30,730000,USD,60,Expired,
CTR-0077,VEND-00079,Lumen Technologies - Blanket PO,Blanket PO,2023-09-07,2024-09-01,True,90,1305000,USD,30,Expired,
CTR-0078,VEND-00047,Juniper Works - Retainer,Retainer,2025-02-02,2027-01-23,False,30,625000,USD,45,Active,
CTR-0079,VEND-00085,Orion Logistics - Subscription,Subscription,2024-06-06,2025-11-28,False,90,1345000,USD,45,Expired,
CTR-0080,VEND-00094,Relay Group - Retainer,Retainer,2023-02-19,2026-02-03,False,90,350000,USD,30,Expired,
